data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
100/100;10;False;0.0024220943450927734;4.1041374206542965e-05;0.010871171951293945;4.112276895664434e-05;7.481052398681641;200;173;0.865;100;100;27;1.0;100;73;0;0.73;181880;107430;0.5906641741807785;154246;96602;16806;0.6262852845454663;27634;10828;57644;0.39183614388072663;0;0;0;
100/100;10;True;0.012839555740356445;0.00022090792655944823;0.04487490653991699;0.0001729664289744209;31.460919857025146;200;176;0.88;100;93;17;0.93;100;83;7;0.83;181880;108185;0.5948152628106443;154246;97334;16783;0.6310309505594959;27634;10851;56912;0.392668451907071;0;0;0;
100/100;20;False;0.003920555114746094;7.96675682067871e-05;0.018682241439819336;4.1028671744946256e-05;7.464060306549072;200;200;1.0;100;100;0;1.0;100;100;0;1.0;181880;95939;0.5274851550472839;154246;82995;14690;0.5380690585169146;27634;12944;71251;0.4684084823044076;0;0;0;
100/100;20;True;0.003344297409057617;3.796100616455078e-05;0.009740591049194336;4.207008430819892e-05;7.652680397033691;200;197;0.985;100;97;0;0.97;100;100;3;1.0;181880;75198;0.41344842753463823;154246;57475;9911;0.37261906305511977;27634;17723;96771;0.641347615256568;0;0;0;
100/100;25;False;0.0035333633422851562;5.642533302307129e-05;0.013051033020019531;4.8896878112245976e-05;8.89531683921814;200;199;0.995;100;100;1;1.0;100;99;0;0.99;181880;98284;0.5403782713877282;154246;85673;15023;0.5554309349999351;27634;12611;68573;0.45635810957516104;0;0;0;
100/100;25;True;0.003195047378540039;4.622578620910644e-05;0.01018667221069336;4.173603088273199e-05;7.593066453933716;200;199;0.995;100;99;0;0.99;100;100;1;1.0;181880;93199;0.5124202771057841;154246;79856;14291;0.5177184497491021;27634;13343;74390;0.48284721719620755;0;0;0;
100/100;30;False;0.0032155513763427734;4.269719123840332e-05;0.008971214294433594;4.510023265139779e-05;8.20429801940918;200;200;1.0;100;100;0;1.0;100;100;0;1.0;181880;91490;0.5030239718495711;154246;77754;13898;0.5040908678344982;27634;13736;76492;0.4970688282550481;0;0;0;
100/100;30;True;0.0033097267150878906;6.0771703720092776e-05;0.013483524322509766;4.2159926479717964e-05;7.669920206069946;200;199;0.995;100;100;1;1.0;100;99;0;0.99;181880;102870;0.5655926984825159;154246;91770;16534;0.5949587023326375;27634;11100;62476;0.401679090974886;0;0;0;
100/100;50;False;0.0035080909729003906;4.398465156555176e-05;0.010913372039794922;4.890881608233547e-05;8.896860599517822;200;199;0.995;100;100;1;1.0;100;99;0;0.99;181880;118050;0.6490543215306795;154246;110659;20243;0.7174189282055936;27634;7391;43587;0.2674603749004849;0;0;0;
100/100;50;True;0.0036134719848632812;6.0253143310546875e-05;0.012993335723876953;4.462387657752791e-05;8.117388248443604;200;200;1.0;100;100;0;1.0;100;100;0;1.0;181880;124422;0.6840884099406201;154246;117977;21189;0.7648626220453043;27634;6445;36269;0.23322718390388653;0;0;0;
100/100;100;False;0.0033540725708007812;4.3181180953979494e-05;0.010523319244384766;4.892161528514143e-05;8.901370525360107;200;195;0.975;100;100;5;1.0;100;95;0;0.95;181880;132166;0.7266659335825819;154246;127079;22547;0.8238722560066387;27634;5087;27167;0.18408482304407614;0;0;0;
100/100;100;True;0.003663778305053711;7.269501686096191e-05;0.015371561050415039;4.41662015195519e-05;8.03737998008728;200;191;0.955;100;100;9;1.0;100;91;0;0.91;181880;140494;0.7724543655157247;154246;137784;24924;0.8932743798866746;27634;2710;16462;0.09806759788666136;0;0;0;
